"","CD8 T cell","CD4 T cell","NK cell","Monocyte","Macrophage","Treg","cDC2","B cell","GD T cell","CD45-","cDC1","pDC","Mast cell"
"PTPR",0.386658444557932,0.373995611399066,0.349731164732147,0.542729436273042,0.592393910763613,0.51140076317333,0.619268602564714,0.204507721696712,0.374906709330731,0.869108300706997,0.323015902012535,0.397214946429811,1
"EPO",0.395251710093384,0.405514336879223,0.128558556849068,0.741645248674988,0.98617906399573,0.701333041482021,0.855197015911815,NA,0.419987696019938,1,0.197955766222838,0.427150387866901,0.776097609009612
"NPR2",0.812678978948872,NA,1,0.74571010981744,0.888084787868192,NA,0.426851487864137,NA,0.814919584398141,0.411651561401797,NA,0.771330127024402,NA
"GAP",0.203226009053737,0.331384439696152,0.199923256918558,0.606836807047254,0.600272524293226,0.193862959862308,0.584671683103066,0.0609087322997434,0.291202608901772,1,0.420354246944403,0.245926959243128,0.245073553702396
"IFN-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANGPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RANKL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEGR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netrin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GDNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
