"","C1q Macrophage","Spp1 Macrophage","Angio Macrophage","Monocyte","Inflammatory Mono","cDC1","cDC2","pDC","MDSC","B cell","Naive T cell","CD4 T cell","Treg","CD8 T cell","Gd T cell","NK cell","Tumour","Tumour.p","Fibroblast","Endothelial"
"ADGRE",0.308197349852346,0.278172053234543,0.323030903858763,0.809665549544408,0.304339610984366,0.276597705124684,0.227776684051673,0.77526954711012,0.393237768507013,1,0.343259320151555,0.345987164052101,0.250307575408563,0.300309751966095,0.818010587025073,0.792920790031117,NA,NA,NA,0.0393631653645285
"MHC-II",NA,NA,NA,NA,NA,NA,NA,0.322607583147265,NA,NA,0.780233575078881,0.299757789934024,1,0.708387387566251,0.66265985903505,0.259339741898716,NA,NA,NA,NA
"TGFb",1,0.129382687632204,0.228325891104636,0.274141962254079,0.163270691167445,0.218266040848748,0.228852151423904,0.991627013685136,0.117142071290335,0.652745949341269,0.927503049833357,0.570166429518077,0.172789874743282,0.648892488188708,0.875110774304815,0.705781412206497,0.176836756896406,0.160739877172527,0.66609257421665,0.567710442666342
"PTN",0.602823811157483,0.80498290359384,0.450812724470136,0.299573689662395,0.690596355802288,0.340745245930999,0.338643524303304,0.705025384165581,NA,0.368926592239837,0.356885217332484,0.378533443586812,0.555959452555851,0.335243558122041,0.338955070584699,0.278909454135784,1,0.943633467726103,0.904402447746193,0.453334927217522
"CD80",0.145783500221018,0.435817941827169,0.44112322188716,0.154646450205274,0.503842609714383,0.164917716396764,0.459349810691781,0.110559224295157,0.220862674428697,0.181659298876613,0.0976821046930327,0.612438130715049,1,0.682147895777976,0.254180512882542,0.235545689014168,3.76051255624094e-05,2.15267523220732e-05,5.32183156913511e-05,4.20070908148687e-08
"SIRP",0.53535622460466,0.826103874840644,0.636984219942357,0.63604130224444,0.877928982587888,0.659782782179993,0.660872930722173,1,0.819143810686918,0.612909059019959,0.653568116751847,0.614372320524585,0.558478320305206,0.789792881264462,0.73988808440708,0.892073721214024,0.53801025124093,0.653588189355224,0.694828517803403,0.521454783375426
"ICAM",0.31294047555597,0.663075104181509,0.61390728568958,0.913110906595529,0.565214778810555,0.108775921720916,0.299034069663773,0.630409597145091,0.402160397939759,NA,0.127929297262996,0.135207981241931,0.387619837723664,0.876236495187311,0.53955035102053,1,NA,NA,NA,NA
"SELPLG",NA,NA,NA,NA,0.190751093050724,NA,NA,1,0.343661158992304,0.312475892512253,0.730774191974274,NA,NA,NA,0.677679731374186,0.271552504124357,NA,NA,NA,0.0952950071228584
"VCAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.967956945543933,0.846612673243688,1,0.121229559402718
"ApoE",1,0.60893532211324,0.581828084673312,0.590888822362404,0.606011917309678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD45",1,0.391805676478315,0.00217135957730297,0.00252299413218984,0.00306575101419393,NA,0.30028185298729,NA,0.000482074288103042,NA,NA,NA,NA,NA,NA,NA,0.0088718025216008,0.0162783020742545,0.019187857987066,0.0350357367899228
"CD86",3.17216859060084e-07,4.10372333707384e-07,3.3729562399556e-07,3.05726129147155e-07,2.96379462064287e-07,4.90006188742433e-08,1.34458440529314e-07,6.99137977551573e-06,3.43539642142747e-07,1.403517347509e-09,0.1213318982027,0.601883185070291,1,0.826734558222013,0.117632319766437,0.103594674710672,4.70947041594547e-05,2.69590212847625e-05,6.66477656690763e-05,7.74201826960574e-08
"VEGF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ANGPTL",0.498435894381477,0.957596921388785,0.785030833523634,0.40726077655047,0.774727325335945,0.0460116362515566,0.142872761503892,0.488829299321295,0.104670842514243,1.07228072085928e-09,7.92263012709804e-06,1.01793906520514e-05,0.188736367000861,6.7657211063376e-06,3.32991794807013e-07,8.67618577052935e-10,0.839493492370356,0.846184080585784,1,0.761306600542247
"COMPLEMENT",0.660908809719702,0.969479907919602,0.937588910235165,0.575380165341301,1,0.0988039750679773,0.303938083731576,0.120275647885317,0.340768658828714,NA,NA,NA,NA,NA,NA,0.132306116940208,NA,NA,NA,NA
"THY1",0.490588218641952,1,0.930789815299939,0.812964155506067,0.86152397614849,0.17457986785569,0.541625690251402,0.422412240550649,0.624149939431334,NA,NA,NA,0.596624035004011,NA,NA,0.235036822424235,NA,NA,NA,0.386984570781869
"CD6",0.607159434072169,0.91695841051153,0.956642264833265,0.743224085153917,0.766178325137043,0.755255422271229,1,0.607970478048444,0.903250147322076,0.280676706996905,NA,NA,0.28219819970675,0.278578627953541,NA,NA,0.206266447771352,0.425702572474921,0.233740869174994,0.0812614771246639
"PLAU",0.576120377059448,1,0.757394410697122,0.8790275450163,0.872181497576205,0.0135915684482429,0.200294479751686,0.621126372985552,0.997604366736164,0.615467967587697,NA,NA,NA,NA,NA,NA,0.0297418607345997,0.100673796185008,NA,NA
