gene,term_id
CD44,REACTOME:R-HSA-1474244
CD44,REACTOME:R-HSA-1630316
CD44,REACTOME:R-HSA-168249
CD44,REACTOME:R-HSA-168256
CD44,REACTOME:R-HSA-202733
CD44,REACTOME:R-HSA-2142845
CD44,REACTOME:R-HSA-216083
CD44,REACTOME:R-HSA-2160916
CD44,REACTOME:R-HSA-428359
CD44,REACTOME:R-HSA-6798695
CD44,REACTOME:R-HSA-71387
CD44,REACTOME:R-HSA-877300
CD44,REACTOME:R-HSA-8953854
CD44,REACTOME:R-HSA-913531
CHST11,REACTOME:R-HSA-1430728
CHST11,REACTOME:R-HSA-1630316
CHST11,REACTOME:R-HSA-1793185
CHST11,REACTOME:R-HSA-2022870
CHST11,REACTOME:R-HSA-71387
CISH,REACTOME:R-HSA-1266695
CISH,REACTOME:R-HSA-1280215
CISH,REACTOME:R-HSA-168256
CISH,REACTOME:R-HSA-392499
CISH,REACTOME:R-HSA-449147
CISH,REACTOME:R-HSA-597592
CISH,REACTOME:R-HSA-8951664
CISH,REACTOME:R-HSA-982772
COX7A2,REACTOME:R-HSA-1428517
COX7A2,REACTOME:R-HSA-1430728
COX7A2,REACTOME:R-HSA-212436
COX7A2,REACTOME:R-HSA-2262752
COX7A2,REACTOME:R-HSA-3700989
COX7A2,REACTOME:R-HSA-5628897
COX7A2,REACTOME:R-HSA-611105
COX7A2,REACTOME:R-HSA-73857
COX7A2,REACTOME:R-HSA-74160
COX7A2,REACTOME:R-HSA-8953897
COX7A2,REACTOME:R-HSA-9707564
COX7A2,REACTOME:R-HSA-9711123
COX7A2,REACTOME:R-HSA-9864848
CTSD,REACTOME:R-HSA-1280218
CTSD,REACTOME:R-HSA-1442490
CTSD,REACTOME:R-HSA-1474228
CTSD,REACTOME:R-HSA-1474244
CTSD,REACTOME:R-HSA-162582
CTSD,REACTOME:R-HSA-168249
CTSD,REACTOME:R-HSA-168256
CTSD,REACTOME:R-HSA-2022377
CTSD,REACTOME:R-HSA-2132295
CTSD,REACTOME:R-HSA-2980736
CTSD,REACTOME:R-HSA-392499
CTSD,REACTOME:R-HSA-6798695
CTSD,REACTOME:R-HSA-74752
CTSD,REACTOME:R-HSA-77387
CTSD,REACTOME:R-HSA-8939211
CTSD,REACTOME:R-HSA-9006931
CTSD,REACTOME:R-HSA-9006934
CTSD,REACTOME:R-HSA-9018519
CTSS,REACTOME:R-HSA-1236975
CTSS,REACTOME:R-HSA-1236977
CTSS,REACTOME:R-HSA-1280218
CTSS,REACTOME:R-HSA-1474228
CTSS,REACTOME:R-HSA-1474244
CTSS,REACTOME:R-HSA-1474290
CTSS,REACTOME:R-HSA-1500931
CTSS,REACTOME:R-HSA-1679131
CTSS,REACTOME:R-HSA-168249
CTSS,REACTOME:R-HSA-168256
CTSS,REACTOME:R-HSA-168898
CTSS,REACTOME:R-HSA-2022090
CTSS,REACTOME:R-HSA-2132295
CTSS,REACTOME:R-HSA-418990
CTSS,REACTOME:R-HSA-421270
CTSS,REACTOME:R-HSA-446728
CTSS,REACTOME:R-HSA-6798695
CTSS,REACTOME:R-HSA-9759476
CTSS,REACTOME:R-HSA-9764265
CTSS,REACTOME:R-HSA-9764274
CTSS,REACTOME:R-HSA-9764561
CTSS,REACTOME:R-HSA-9766229
CTSS,REACTOME:R-HSA-983169
CX3CR1,REACTOME:R-HSA-162582
CX3CR1,REACTOME:R-HSA-1643685
CX3CR1,REACTOME:R-HSA-372790
CX3CR1,REACTOME:R-HSA-373076
CX3CR1,REACTOME:R-HSA-375276
CX3CR1,REACTOME:R-HSA-380108
CX3CR1,REACTOME:R-HSA-388396
CX3CR1,REACTOME:R-HSA-418594
CX3CR1,REACTOME:R-HSA-500792
CX3CR1,REACTOME:R-HSA-5663205
CX3CR1,REACTOME:R-HSA-9820952
CX3CR1,REACTOME:R-HSA-9820960
CX3CR1,REACTOME:R-HSA-9824446
CX3CR1,REACTOME:R-HSA-9833110
DHRS3,REACTOME:R-HSA-162582
DHRS3,REACTOME:R-HSA-2187335
DHRS3,REACTOME:R-HSA-2187338
DHRS3,REACTOME:R-HSA-5362517
DHRS3,REACTOME:R-HSA-5365859
DHRS3,REACTOME:R-HSA-9006931
DHRS3,REACTOME:R-HSA-9709957
FABP5,REACTOME:R-HSA-1430728
FABP5,REACTOME:R-HSA-162582
FABP5,REACTOME:R-HSA-163560
FABP5,REACTOME:R-HSA-168249
FABP5,REACTOME:R-HSA-168256
FABP5,REACTOME:R-HSA-5362517
FABP5,REACTOME:R-HSA-556833
FABP5,REACTOME:R-HSA-6798695
FABP5,REACTOME:R-HSA-8979227
FABP5,REACTOME:R-HSA-9006931
FLOT1,REACTOME:R-HSA-112316
FLOT1,REACTOME:R-HSA-162582
FLOT1,REACTOME:R-HSA-194315
FLOT1,REACTOME:R-HSA-5213460
FLOT1,REACTOME:R-HSA-5218859
FLOT1,REACTOME:R-HSA-5357801
FLOT1,REACTOME:R-HSA-5675482
FLOT1,REACTOME:R-HSA-6794362
FLOT1,REACTOME:R-HSA-8849932
FLOT1,REACTOME:R-HSA-8980692
FLOT1,REACTOME:R-HSA-9012999
FLOT1,REACTOME:R-HSA-9013026
FLOT1,REACTOME:R-HSA-9013106
FLOT1,REACTOME:R-HSA-9716542
FMNL2,REACTOME:R-HSA-162582
FMNL2,REACTOME:R-HSA-194315
FMNL2,REACTOME:R-HSA-195258
FMNL2,REACTOME:R-HSA-5663220
FMNL2,REACTOME:R-HSA-9012999
FMNL2,REACTOME:R-HSA-9013106
FMNL2,REACTOME:R-HSA-9013148
FMNL2,REACTOME:R-HSA-9716542
FN1,REACTOME:R-HSA-109582
FN1,REACTOME:R-HSA-114608
FN1,REACTOME:R-HSA-1266738
FN1,REACTOME:R-HSA-1280215
FN1,REACTOME:R-HSA-1474228
FN1,REACTOME:R-HSA-1474244
FN1,REACTOME:R-HSA-1566948
FN1,REACTOME:R-HSA-1566977
FN1,REACTOME:R-HSA-162582
FN1,REACTOME:R-HSA-1643685
FN1,REACTOME:R-HSA-168256
FN1,REACTOME:R-HSA-202733
FN1,REACTOME:R-HSA-2129379
FN1,REACTOME:R-HSA-216083
FN1,REACTOME:R-HSA-3000170
FN1,REACTOME:R-HSA-3000171
FN1,REACTOME:R-HSA-3000178
FN1,REACTOME:R-HSA-354192
FN1,REACTOME:R-HSA-354194
FN1,REACTOME:R-HSA-372708
FN1,REACTOME:R-HSA-372790
FN1,REACTOME:R-HSA-381426
FN1,REACTOME:R-HSA-388396
FN1,REACTOME:R-HSA-392499
FN1,REACTOME:R-HSA-418555
FN1,REACTOME:R-HSA-449147
FN1,REACTOME:R-HSA-5663202
FN1,REACTOME:R-HSA-5663205
FN1,REACTOME:R-HSA-5673001
FN1,REACTOME:R-HSA-5674135
FN1,REACTOME:R-HSA-5683057
FN1,REACTOME:R-HSA-5684996
FN1,REACTOME:R-HSA-597592
FN1,REACTOME:R-HSA-6785807
FN1,REACTOME:R-HSA-6802946
FN1,REACTOME:R-HSA-6802948
FN1,REACTOME:R-HSA-6802949
FN1,REACTOME:R-HSA-6802952
FN1,REACTOME:R-HSA-6802955
